Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Epsilon;single;random10.bibtex;1;0;Run;Problems;1
Epsilon;single;random10.bibtex;2;0;Run;Problems;0
Epsilon;single;random10.bibtex;3;0;Run;Problems;1
Epsilon;single;random10.bibtex;4;0;Run;Problems;1
Epsilon;single;random10.bibtex;5;0;Run;Problems;1
Epsilon;single;random10.bibtex;6;0;Run;Problems;1
Epsilon;single;random10.bibtex;7;0;Run;Problems;0
Epsilon;single;random10.bibtex;8;0;Run;Problems;1
Epsilon;single;random10.bibtex;9;0;Run;Problems;1
Epsilon;single;random10.bibtex;10;0;Run;Problems;0
Epsilon;single;random10.bibtex;11;0;Run;Problems;0
Epsilon;single;random10.bibtex;12;0;Run;Problems;1
Epsilon;single;random10.bibtex;13;0;Run;Problems;1
Epsilon;single;random10.bibtex;14;0;Run;Problems;1
Epsilon;single;random10.bibtex;15;0;Run;Problems;1
Epsilon;single;random10.bibtex;16;0;Run;Problems;0
Epsilon;single;random10.bibtex;17;0;Run;Problems;0
Epsilon;single;random10.bibtex;18;0;Run;Problems;1
Epsilon;single;random10.bibtex;19;0;Run;Problems;1
Epsilon;single;random10.bibtex;20;0;Run;Problems;0
Epsilon;single;random10.bibtex;21;0;Run;Problems;0
Epsilon;single;random10.bibtex;22;0;Run;Problems;1
Epsilon;single;random10.bibtex;23;0;Run;Problems;0
Epsilon;single;random10.bibtex;24;0;Run;Problems;1
Epsilon;single;random10.bibtex;25;0;Run;Problems;1
Epsilon;single;random10.bibtex;26;0;Run;Problems;1
Epsilon;single;random10.bibtex;27;0;Run;Problems;0
Epsilon;single;random10.bibtex;28;0;Run;Problems;0
Epsilon;single;random10.bibtex;29;0;Run;Problems;1
Epsilon;single;random10.bibtex;30;0;Run;Problems;0
Epsilon;single;random10.bibtex;31;0;Run;Problems;0
Epsilon;single;random10.bibtex;32;0;Run;Problems;1
Epsilon;single;random10.bibtex;33;0;Run;Problems;0
Epsilon;single;random10.bibtex;34;0;Run;Problems;1
Epsilon;single;random10.bibtex;35;0;Run;Problems;0
Epsilon;single;random10.bibtex;36;0;Run;Problems;1
Epsilon;single;random10.bibtex;37;0;Run;Problems;1
Epsilon;single;random10.bibtex;38;0;Run;Problems;1
Epsilon;single;random10.bibtex;39;0;Run;Problems;0
Epsilon;single;random10.bibtex;40;0;Run;Problems;1
Epsilon;single;random10.bibtex;41;0;Run;Problems;0
Epsilon;single;random10.bibtex;42;0;Run;Problems;0
Epsilon;single;random10.bibtex;43;0;Run;Problems;1
Epsilon;single;random10.bibtex;44;0;Run;Problems;0
Epsilon;single;random10.bibtex;45;0;Run;Problems;0
Epsilon;single;random10.bibtex;46;0;Run;Problems;0
Epsilon;single;random10.bibtex;47;0;Run;Problems;0
Epsilon;single;random10.bibtex;48;0;Run;Problems;1
Epsilon;single;random10.bibtex;49;0;Run;Problems;0
Epsilon;single;random10.bibtex;50;0;Run;Problems;0
Epsilon;double;random10.bibtex;1;0;Run;Problems;0
Epsilon;double;random10.bibtex;2;0;Run;Problems;0
